FIPS_Code,Alt FIPS Code,County_State,State,State Abbreviation,County,"County, State Abbreviation",County_Level_Index,Requiring all 4 Subindices,Excluding Collective Efficacy,Family_Unity,Community_Health,Institutional_Health,Collective_Efficacy
01001,1001,"Autauga County, Alabama",Alabama,AL,Autauga,"Autauga County, AL",0.02,0.02,0.04,0.56,-1.02,0.45,-0.10
01003,1003,"Baldwin County, Alabama",Alabama,AL,Baldwin,"Baldwin County, AL",0.02,0.02,-0.09,0.45,-0.98,0.26,0.15
01005,1005,"Barbour County, Alabama",Alabama,AL,Barbour,"Barbour County, AL",-1.16,-1.16,-1.23,-1.83,-0.55,-0.42,-0.43
01007,1007,"Bibb County, Alabama",Alabama,AL,Bibb,"Bibb County, AL",-0.14,-0.14,-0.48,0.42,-0.58,-0.89,0.51
01009,1009,"Blount County, Alabama",Alabama,AL,Blount,"Blount County, AL",0.18,0.18,0.11,0.67,-0.93,0.42,0.17
01011,1011,"Bullock County, Alabama",Alabama,AL,Bullock,"Bullock County, AL",,,,,-0.04,-0.93,-0.29
01013,1013,"Butler County, Alabama",Alabama,AL,Butler,"Butler County, AL",,,,,-0.17,-0.35,-1.44
01015,1015,"Calhoun County, Alabama",Alabama,AL,Calhoun,"Calhoun County, AL",-0.98,-0.98,-0.46,-0.25,-0.76,-0.08,-1.70
01017,1017,"Chambers County, Alabama",Alabama,AL,Chambers,"Chambers County, AL",-1.27,-1.27,-0.90,-1.38,-0.64,-0.07,-1.45
01019,1019,"Cherokee County, Alabama",Alabama,AL,Cherokee,"Cherokee County, AL",-0.52,-0.52,-0.42,0.73,-0.72,-0.90,-0.71
01021,1021,"Chilton County, Alabama",Alabama,AL,Chilton,"Chilton County, AL",-0.43,-0.43,-0.33,0.02,-0.88,0.05,-0.52
01023,1023,"Choctaw County, Alabama",Alabama,AL,Choctaw,"Choctaw County, AL",0.17,0.17,-0.03,-1.15,0.42,0.51,0.69
01025,1025,"Clarke County, Alabama",Alabama,AL,Clarke,"Clarke County, AL",-0.28,-0.28,0.13,-0.16,-0.03,0.37,-1.00
